login,password,role
pcosta,dragonballz1,ADMIN
jbonano,30secondstomars,MANAGER
akunjus,"zxcvbnm,./",MANAGER
ecressvan,betar@m0s,MANAGER
pwindsor,zxcvbn,MANAGER
jprescarelo,!@3435t0,STAFF
asmith,j0l@p!n45,STAFF
jkarr,sesshomaru,STAFF
msingh,x$565Waq,STAFF
hlu,545$@adafs,STAFF
rbaird,wonderwoman,STAFF
jbutt,bentonjohnbjr,USER
jdarakjy,chanayjeffreyaesq,USER
avenere,chemeljameslcpa,USER
lpaprocki,feltzprintingservice,USER
dfoller,printingdimensions,USER
smorasca,chapmanrosseesq,USER
mtollner,morlongassociates,USER
ldilliard,commercialpress,USER
swieser,truhlarandtruhlarattys,USER
